Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,Aspect Ratio,Status
0.271,25466.788,1582,41851,2.075,0.688,0.502,99.777,0.791,1.372,0.729,0.959,1.370517928,Dividing
0.185,9547.798,1028,16605,1.72,0.527,0.448,90.425,0.787,1.177,0.85,0.931,1.176339286,Dividing
0.206,18751.092,5405,28495,1.777,0.593,0.443,93.304,0.822,1.337,0.748,0.978,1.338600451,Dividing
0.226,23404.093,1024,38555,1.702,0.627,0.459,90,0.979,1.366,0.732,1,1.366013072,Dividing
0.271,20133.917,787,36635,1.898,0.75,0.46,90,0.945,1.633,0.612,1,1.630434783,Dividing
0.201,37708.784,3498,51039,1.742,0.645,0.398,92.664,0.834,1.621,0.617,0.975,1.620603015,Dividing
0.274,16896.16,1811,31969,1.93,0.659,0.53,84.511,0.925,1.244,0.804,0.97,1.243396226,Dividing
0.185,21495.36,2542,31170,1.78,0.696,0.339,114.365,0.735,2.054,0.487,0.931,2.053097345,Dividing
0.171,29450.381,3759,38992,1.63,0.527,0.414,153.231,0.81,1.272,0.786,0.955,1.27294686,Dividing
0.144,29997.853,3301,39699,1.429,0.474,0.387,124.825,0.886,1.227,0.815,0.965,1.224806202,Dividing
0.202,32680.937,2602,53698,1.723,0.546,0.472,171.555,0.856,1.158,0.864,0.97,1.156779661,Dividing
0.237,19103.017,1056,31543,1.872,0.63,0.479,27.115,0.85,1.316,0.76,0.949,1.315240084,Dividing
0.225,26193.621,1658,39117,1.792,0.683,0.42,91.149,0.882,1.623,0.616,0.964,1.626190476,Dividing
0.157,24500.995,4594,37486,1.482,0.45,0.445,114.976,0.9,1.012,0.988,0.962,1.011235955,Dividing
0.376,15208.757,831,26222,2.627,0.743,0.644,147.389,0.684,1.153,0.867,0.966,1.153726708,Dividing
0.219,27163.758,1241,48024,1.793,0.534,0.522,147.366,0.856,1.023,0.977,0.979,1.022988506,Dividing
0.166,30081.959,4148,41309,1.587,0.52,0.406,152.484,0.828,1.28,0.781,0.962,1.280788177,Dividing
0.113,31138.939,2787,44699,1.272,0.4,0.361,17.797,0.879,1.108,0.902,0.946,1.108033241,Dividing
0.117,32719.935,7666,41751,1.293,0.404,0.369,72.174,0.88,1.097,0.911,0.946,1.094850949,Dividing
0.234,35929.848,3723,47803,1.959,0.639,0.465,177.055,0.765,1.374,0.728,0.953,1.374193548,Dividing
0.126,28936.028,1783,44217,1.473,0.437,0.366,166.314,0.728,1.192,0.839,0.939,1.193989071,Dividing
0.117,32427.275,8112,45305,1.282,0.437,0.34,81.811,0.892,1.286,0.778,0.965,1.285294118,Dividing
0.124,32946.405,8112,42980,1.343,0.498,0.316,101.607,0.862,1.577,0.634,0.961,1.575949367,Dividing
0.275,29119.975,3887,46004,2.024,0.644,0.543,51.792,0.843,1.186,0.843,0.964,1.186003683,Dividing
0.133,24246.049,2614,34912,1.356,0.446,0.378,107.216,0.906,1.18,0.847,0.968,1.17989418,Dividing
0.167,20680.592,2052,34687,1.504,0.466,0.456,115.862,0.926,1.022,0.978,0.961,1.021929825,Dividing
0.156,50692.163,5457,65535,1.515,0.466,0.427,3.748,0.856,1.091,0.916,0.933,1.091334895,Dividing
0.207,38200.988,2960,55762,1.68,0.543,0.486,95.467,0.923,1.117,0.895,0.976,1.117283951,Dividing
0.246,36944.237,1269,58754,1.904,0.722,0.433,174.431,0.851,1.667,0.6,0.943,1.66743649,Dividing
0.309,19246.053,1341,34916,2.172,0.781,0.504,147.23,0.823,1.548,0.646,0.926,1.549603175,Dividing
0.216,37935.327,1430,57629,1.836,0.629,0.437,100.697,0.805,1.441,0.694,0.945,1.439359268,Dividing
0.211,39890.808,1598,60047,1.731,0.555,0.485,83.169,0.886,1.144,0.874,0.958,1.144329897,Dividing
0.166,37983.626,2020,58095,1.539,0.564,0.375,12.494,0.883,1.503,0.665,0.953,1.504,Dividing
0.157,37054.242,2361,52903,1.535,0.597,0.334,22.077,0.835,1.788,0.559,0.943,1.78742515,Dividing
0.138,36053.231,2305,56958,1.549,0.484,0.364,138.99,0.723,1.33,0.752,0.964,1.32967033,Dividing
0.189,30835.806,2289,51959,1.538,0.501,0.481,0,1,1.041,0.96,1,1.041580042,Dividing
1.874,5647.141,695,19637,10.699,2.686,0.888,171.371,0.206,3.024,0.331,0.512,3.024774775,Healthy
0.537,6837.787,494,14545,5.747,1.243,0.55,127.871,0.204,2.259,0.443,0.434,2.26,Healthy
1.479,4644.817,526,14127,6.999,2.075,0.908,169.276,0.38,2.285,0.438,0.687,2.285242291,Healthy
1.638,3408.69,494,12762,7.322,2.668,0.782,142.638,0.384,3.413,0.293,0.763,3.411764706,Healthy
1.391,7390.599,659,18809,10.207,2.053,0.863,1.343,0.168,2.38,0.42,0.442,2.378910776,Healthy
2.028,3935.019,618,12854,8.148,2.418,1.068,48.072,0.384,2.265,0.442,0.669,2.264044944,Healthy
1.219,6474.483,743,16601,7.439,2.62,0.592,105.302,0.277,4.424,0.226,0.611,4.425675676,Healthy
2.557,3346.849,349,14613,11.147,2.635,1.235,168.016,0.259,2.133,0.469,0.541,2.133603239,Healthy
0.871,6041.402,570,15380,5.277,1.807,0.614,80.816,0.393,2.945,0.34,0.706,2.942996743,Healthy
1.786,5384.893,735,16713,10.442,2.179,1.043,169.178,0.206,2.089,0.479,0.464,2.089165868,Healthy
2.258,3482.901,695,11248,9.634,2.131,1.349,23.513,0.306,1.579,0.633,0.586,1.579688658,Healthy
